Ahuroa; Long mound; ahu: mound, roa: long
Ōtāhūhū; Place of the ridgepole of a house; ō: place of tāhūhū: ridgepole of a house
Ōtaihanga; Place of Taihanga; ō: place of: Taihanga: a personal name
Ōtāika; Place of lying in a heap; ō: place of, tāika: to lie in a heap
Ōtakapuneke; Place of Takapuneke; ō: place of, Takapuneke: a personal name
Ōtakaro; Place of Takaro; ō: place of, Takaro: a personal name
Ōtakeho; Place of Takeho; ō: place of, Takeho: a personal name
Ōtaki; Place of sticking a staff into the ground; ō: place of, taki: stick in
Ōtākiri; Place of loosening or freeing from tapu; ō: place of, tākiri: loosening or making free from tapu
Ōtakou; Place of red ochre; or place of Tākou; ō: place of, tākou: red ochre
Ōtama; Place of Tama; ō: place of,  Tama: a personal name
Ōtamakura; Place of boy ornamented with red feathers; ō: place of, tama: son, kura: ornamented with red feathers
Ōtamarākau; Place of young warriors; ō: place of, tama: young men, rākau: weapons
Ōtamarau; Place of Tamarau; ō: place of, Tamarau: a personal name
Ōtamatea; Place of Tamatea; ō: place of, Tamatea: a personal name
Ōtāne; Place of a man; ō: place of, tāne: man
Ōtāngarei; Place of group of people leaping; ō: place of, tanga: row or company of people, rei: leaping
Ōtangaroa; Place of Tangaroa; ō: place of, Tangaroa: a personal name, or the god of the ocean
Ōtangihaku; Place of murmured weeping; ō: place of, tangi: to sound or weep, haku: to murmur
Ōtangimoana; Place of weeping waters; ō: place of, tangi: weeping, moana: waters
Ōtangiwai; Place of weeping waters; ō: place of, tangi: weeping, wai: waters
Ōtāpara; Place of digging implement; ō: place of, tāpara: desire, or wooden digging implement
Ōtāpiri; Place of vigorous growing shoot; ō: place of, tapiri: a vigorous shoot growing beside the main stem of a plant
Ōtara; Place of the peak; ō: place of, tara: peak
Ōtara; Place of Tara; ō: place of, Tara: a personal name
Ōtaraia; Place of Taraia; ō: place of, Taraia: a personal name
Ōtaranga; Place of separation; ō: place of, taranga: separation
Ōtatara; Place of loosening; ō: place of, tatara: to untie or loosen
Ōtauaki; Place of exposure; ō: place of, tauaki: to show or expose
Ōtautau; Place of ear pendant; ō: place of, tautau: greenstone ear pendant with a straight shank curved at the lower end
Ōtāwēwē; Place of a weighted net; ō: place of: tāwēwē: weighted net
Ōtāwhao; Place of brushwood scrub; ō: place of, tāwhao: fragments, refuse or brushwood
Ōtehei; Place of the neck ornament; ō: place of, te: the, hei: neck ornament
Ōtehīwai; Place of springing up of water; ō: place of, te: the, hīwai: springing up
Ōtekura; Place of the red feather; ō: place of, te: the, kura: red feather
Ōtepopo; Place of the decayed wood; ō: place of, te: the, popo: decayed wood
Ōtipua; Place of supernatural creature; ō: place of, tipua: enchanted object or person
Ōtiria; Place of planting; ō: place of, tiria: to be planted
Ōtiwhā; Place of patch; ō: place of: tiwhā: a patch of shell or wood to cover a hole in a kelp bag
Ōtoatahi; Place of a single warrior; ō: place of, toa: warrior, tahi: one
Ōtohi; Place of ceremony; ō: place of, tohi: ritual ceremony
Ōtoko; Place of the staff; ō: place of, toko: stick or staff
Ōtonga; Place of the south wind; ō: place of, tonga: south, or south wind
Ōtoroa; Place of the albatross; ō: place of, toroa: albatross
Ōtūkapuarangai; Place of the standing cloud in the sky; ō: place of, tu: to stand, kapua: cloud, rangi: sky
Ōtūmatua; Where the elder stands; o: place of, tū: stand, matua: parent
Ōtūmoetai; Place where the tide stands still as if asleep; ō: place of, tu: to stand, moe: to sleep, tai: tide
Ōtūpaopao; Place of standing and breaking; ō: place of, tū: to stand, paopao: to break by repeated strokes
Ōtūraki; Place of standing in the sky; ō: place of, tū: to stand, raki (rangi): sky
Ōtūrēhua; Place where the summer star stands still; ō: place of, tū: to stand, Rēhua: the star Antares 
Ōturoto; Place of Turoto; ō: place of, Turoto: a personal name
Ōtūru; Place of Turu; ō: place of, Turu: a personal name
Ōue; Place of Ue; ō: place of, Ue: a personal name
Ōueroa; Place of long flax; ō: place of, ue: species of flax, roa: long
Ōui; Place of questioning; ō: place of, ui: to ask
Ōuruhia; Place of being attacked; ō: place of, uruhia: to be attacked
Ōwahanga; Place of burden; ō: place of, wahanga: burden
Ōwairaka; Place of Wairaka; ō: place of, Wairaka, a chieftainess of repute
Ōwairaka; Place of the stream of Raka; ō: place of, wai: stream, Raka: an ancestor
Ōwaka; Place of a canoe; ō: place of, waka: canoe or wooden trough
Ōweka; Place of the weka; ō: place of, weka: wood-hen
Ōwhango; Place of wheezy noises; ō: place of, whango: hoarse voice or wheezy sound
Ōwhata; Place of the elevated stage; ō: place of, whata: elevated stage to protect food from bush rats, and for drying
Ōwhawhe; The place encircled; ō: place of, whawhe: put round
Ōwhiro; Place of Whiro; ō: place of, Whiro
Paehinahina; Hinahina ridge; pae: ridge, headland, hinahina: a small tree also knwn as mahoe
Paekākāriki; Parakeet perch; pae: perch or snare, kākāriki: parakeet (Cyanoramphus novaezelandiae)
Paekoka; Seabird ridge; pae: ridge, koka: an unidentified species of seabird that was caught here
Paeoterangi; Footstool of the sky; pae: perching place, o: of, te: the, rangi: sky
Paerātā; Ridge of the rātā tree; pae: ridge, rātā: native tree
Paerau; Many ridges; pae: ridges or steps, rau: many or a hundred
Paeroa; Long ridge of hills; pae: ridge of hills, roa: long
Paetiki; Ridge of carved figure; pae: ridge, tiki: carved wooden or stone figure
Pakirārahi; Large bald dome; pakirā: bald, rahi: big
Papahīnau; Hīnau flats; papa: flat, hīnau: native tree
Papaiti; Small flats; papa: flat, iti: small
Papakaio; Kaio tree flats; papa: flat, kaio: native tree (South Island form of ngaio)
Papakura; Red flats; papa: flat, kura: red
Papamoa; Raised mounds for growing vegetables on the flats; papa: flat, moa: raisted mounds for growing vegetables
Papanui; Large flat; papa: flat, nui: large
Paparangi; Flat sky; papa: flat, rangi: sky
Paparātā; Rātā tree flats; papa: flat, rātā: native tree
Paparimu; Rimu tree flats; papa: flat, rimu: native tree
Paparoa; Long flats; papa: flat, roa: long
Papatawa; Tawa tree flats; papa: flat, tawa: native tree
Papatāwhara; Kiekie flower flats; papa: ground, tāwhara: kiekie flowers
Papatoetoe; Toetoe grass flat; papa: flat, toetoe: native grass
Papatōtara; Tōtara flat; papa: flat, tōtara: native tree
Papatōwai; Tōwai tree flat; papa: flat, tōwai: native tree
Papawai; Inundated land; papa: flat, wai: water
Pāreranui; Large grey duck; pārera: grey duck (Anas superciliosa): nui: large
Paretai; River bank; pare: divert, tai: the tide
Paretetaitonga; The dust from the south sea; para: dust, te: the, tai: sea, tonga: south
Pārewanui; Fortified village in a large swamp; pā: fortified village, rewa: swamp, nui: large
Pari-nui-te-ra; Great cliff in the sun; pari: cliff, nui: great, te: the, rā: sun
Pariparitetai; Cliffs on the coast; paripari: cliffs, te: the, tai: coast
Pariroa; Long cliff; pari: cliff, roa: long
Pāroa; Broad fortified village; pā: fortified village, roa: long, broad
Paruroa; Long mud; paru: mud, roa: long
Paturoa; Much hitting; patu: to strike or kill, roa: long
Pāuanui; Many or large pāua; pāua: shellfish, nui: many or large
Pikowai; Bend in the stream; piko: corner or bend, wai: stream
Pipiroa; Long pipi; pipi: cockle, roa: long
Pīroa; Long headwaters; pī: headwaters, roa: long
Pōhatunui; Great rock; pōhatu: rock, nui: great
Pōhaturoa; Tall rock; pōhatu: rock, roa: tall
Pohonui; Big stomach; poho: stomach, nui: big
Pōhuenui; Large climbing plant; pōhue: convolvulus or other climbing plants, nui: many
Pongaroa; Tall tree fern; ponga: tree fern, roa: tall or long
Pōnui; Long night; pō: night, nui: long
Puatai; Foam of the sea; pua: foam, tai: sea
Pukearuhe; Hill of bitterness; puke: hill, aruhe: bitter
Puhinui; Large plume at bow of war canoe; puhi: plume at the bow of a war canoe, nui: large
Pukeatua; Hill of the deity; puke: hill, atua: god
Pukehinau; Hīnau tree hill; puke: hill, hinau: a native tree
Puke-hiwi-tahi; One-ridge hill; puke: hill, hiwi: ridge, tahi: one
Pukehuhu; Huhu grub hill; puke: hill, huhu: grub
Pukehuia; Cluster of hills; puke: hill, huia: cluster
Pukeiti; Cabbage tree hill; puke: hill, tī: cabbage tree
Pukekāhu; Hill of the hawk; puke: hill, kāhu: hawk
Pukekaikiore; Hill of the eaten rat; puke: hill, kai: to eat, kiore: rat
Pukekākāriki; Hill of the parakeet; puke: hill, kākāriki: parakeet
Pukekāpia; Kauri gum hill; puke: hill, kāpia: kauri gum
Pukekoikoi; Pointed hill; puke: hill, koikoi: pointed
Pukekōmā; Light-coloured hill; puke: hill, kōmā: light-coloured or bright, or a kind of stone
Pukekōwhai; Kōwhai tree hill; puke: hill, kōwhai: native tree
Pukekura; Red hill; puke: hill, kura: red
Puke-māeroero; Hill of ogres; puke: hill, māeroero: ogres of the forest
Pukemaori; Māori hill; puke: hill, māori: Māori
Pukemarama; Moon hill; puke: hill, marama: moon
Pukemātāwai; Hill is source of stream; puke: hill: mātāwai: source of streams
Pukematekeo; The hill at the end of the range; puke: hill, mate: end, keo: peak
Pukemiro; Miro tree hill; puke: hill, miro: native tree
Pukemoko; Hill of tattoos; puke: hill, moko: tattoo
Pukemoremore; Hill of many pinbellied freshwater fish; puke: hill, more, a freshwater fish
Pukengahu; Hill; puke: hill, ngahu: point or promontory
Pukenui; Large hill; puke: hill, nui: large
Pukeokahu; Hill of Kahu; puke: hill, o: of, Kahu: personal name
Puke-o-Tara; Hill of Tara; puke: hill, o: of, Tara
Pukepiripiri; ‘Biddy-bid’ hill; puke: hill, piripiri: the ‘biddy-bid’ (Acaena anserinifolia)
Pukepito; Hill end; puke: hill, pito: end
Pukepōhatu; Rock hill; puke: hill, pōhatu: rock
Pukepoto; Dark blue pigment hill; puke: hill, poto: dark blue earth present in a nearby swamp, used as a pigment
Pukerangi; Sky hill; puke: hill, rangi: sky
Pukerangiora; Rangiora shrub hill; puke: hill, rangiora: native shrub
Pukerau; Hill of leaves; puke: hills, rau: a leaf, a hundred or many
Pukerauaruhe; Hill of bracken fronds; puke: hill, rauaruhe: bracken fronds
Pukerimu; Rimu tree hill; puke: hill, rimu: native tree
Pukeora; Hill of good health; puke: hill, ora: well or in good health
Pukeroa; Tall hill; puke: hill, roa: long or tall
Pukerua; Two hills; puke: hill, rua: two
Puketaha; Hill side; puke: hill, taha: side
Puketāpapa; Flat-topped hill; puke: hill, tāpapa: edge or flat-topped
Puketapu; Sacred hill; puke: hill, tapu: sacred or forbidden
Puketawa; Tawa tree hill; puke: hill, tawa: native tree
Puketī; Cabbage tree hill; puke: hill, tī: cabbage tree
Puketihi; Summit of the hill; puke: hill, tihi: top or summit
Puketiro; View from the hill; puke: hill, tiro: view
Puke-tirohia-marama; Hill giving a view of the moon; puke: hill, tirohia: to survey or view, marama: moon
Puketoi; Summit of the hill; puke: hill, toi: summit
Puketōtara; Tōtara hill; puke: hill, tōtara tree 
Puketūī; Tūī hill; puke: hill, tūī: native bird
Puketūroto; Hillside beside the lake; puke: hill, tū: to stand, roto: lake
Puketutu; Tutu shrub hill; puke: hill, tutu: native shrub (Coriaria arborea)
Pukewhau; Whau tree hill; puke: hill, whau: a native tree
Pukewhero; Red hill; puke: hill, whero: red
Pukurahi; Large belly; puku: belly, rahi: large
Rāhotu; Long for the sun; rā: sun, hotu: to long for
Rākaunui; Many trees; rākau: tree, nui: many or large
Rākauroa; Tall trees; rākau: tree, roa: tall
Ramaroa; Long torch; rama: torch, roa: long
Ranganui; Large parade; ranga: parade, nui: large
Rangi-roa; Long sky; rangi: sky, roa: long
Rānui; Plenty of sunshine; rā: sun, nui: many
Rapanui; Much seeking; rapa: there are many meanings of rapa, including to seek, nui: many
Rārangi-roa; Long line; rārangi: line or row, roa: long
Rāroa; Long day; rā, day, roa: long
Rātānui; Many or large rātā trees; rātā: native tree, nui: large or many
Rāwhitiroa; Long-shining sun; rā: sun, whiti: to shine, roa: long
Reporoa; Long swamp; repo: swamp, roa: long or wide
Rimunui; Many or large rimu trees; rimu: native tree, nui: many or large
Rongotai; Sound of the sea; rongo: sound, tai: sea
Rotoaira; Lake of Ira; roto: lake, a: of, Ira
Roto-a-Tara; Lake of Tara; roto: lake, a: of, Tara
Rotoehu; Turbid lake; roto: lake, ehu: turbid
Rotoiti; Little lake; roto: lake, iti: small
Rotokākahi; Freshwater shellfish lake; roto: lake, kākahi: freshwater shellfish
Rotokauri; Kauri tree lake; roto: lake, kauri: native tree
Rotokawa; Bitter lake; roto: lake, kawa, bitter
Rotokawau; Shag lake; roto: lake, kawau: shag
Rotokohu; Misty lake; roto: lake, kohu: mist
Rotokura; Red glow of sunset on the water; roto: lake, kura: red
Rotoma; Clear lake; roto: lake, ma: clear
Rotomahana; Warm lake; roto: lake, mahana: warm
Rotomanu; Bird lake; roto: lake, manu: bird
Rotongaro; Hidden lake; roto: lake, ngaro: hidden or lost
Roto-o-rangi; Lake of the sky; roto: lake, o: of, rangi: sky
Rotoroa; Long lake; roto: lake, roa: long
Rotorua; Two lakes; roto: lake, rua: two
Rototuna; Eel lake; roto: lake, tuna: eel
Rotowaro; Lake of glowing embers; roto: lake, waro: coal or glowing embers
Ruapuke Island; Two hill island; rua: two, puke: hills
Ruaroa; Long pit; rua: cave or pit, roa: long
Ruawai; Watery hole; rua: hole, wai: water
Rukumoana; Diving into the pool; ruku: to dive, moana: sea, or deep pool in river
Tāhaenui; Many thieves; tāhae: thief, nui: big or many
Tahāroa; Long calabash; tahā: calabash, gourd, roa: long
Tahawai; Seaside; taha: side, wai: water
Tāhekereroa; High waterfall; tāheke: waterfall, roa: high or long
Tahoraiti; Little forest clearing; tahora: forest clearing, iti: little
Tāhuhūnui; Large ridge-pole; tāhūhū: ridge-pole, nui: large
Tāhunanui; Large sandbank; tāhuna: shoal or sandbank, nui: large
Taiharuru; Resounding sea; tai: sea, haruru: resounding
Taikorea; Tide of the small canoe; tai: sea, korea: a small canoe
Taimate; A salt pool blocked off from the tide; tai: tide, mate: dead
Tainui; Great tide; tai: tide, nui: great
Tairua; Two tides; tai: tides, rua: two
Taitapu; Sacred coast; tai: coast, tapu: sacred
Taitimu; Ebb of the tide; tai: tide, timu: to ebb
Taitomo; Shaft of the sea; tai: sea, tomo: shaft
Takahiwai; Trample water; takahi: to trample, wai: water
Takutai; Sea coast; taku: coast, tai: sea
Tangimoana; Weeping sea; tangi: to weep or lament, moana: ocean
Tangiwai; Weeping water; tangi: to cry or weep, wai: water
Taonui; Large spear; tao: spear, nui: many
Taoroa; Long spear; tao: spear, roa: long
Tapuwaeroa; Long footsteps; tapuwae: footsteps, roa: long
Tātuanui; Large girdle; tātua: girdle, nui: large or many
Taumarunui; Large screen; taumaru: screen, nui: large
Taumatawhakatangihanga kōauauotamatea pōkaiwhenuakitanatahu; The brow of the hill where Tamatea who travelled all over the land played his flute to his lover; taumata: brow of a hill, whakatangihanga: place of sounding or playing, kōauau: flute, o: of, Tamatea-pōkai-whenua, ki: to, tana: his, tahu: lover
Taumoana; Come to rest at sea; tau: to come to rest (and many other meanings), moana: sea
Tauranganui; Great landing place; taura: landing places, nui: many, great
Tauraroa; Long rope; taura: rope, roa: long
Tawanui; Great tawa tree; tawa: native tree (Beilschmiedia tawa), nui: many
Tāwharanui; Many flowers of the kiekie; tāwhara: flower of the kiekie (Freycinetia banksii), nui: many
Te Araroa; The long path; te: the, ara: path, roa: long
Te Awa; The valley; te: the, awa: valley or channel
Te Awahou; The new river; te: the, awa: river, hou: new
Te Awaiti; The little stream; te: the, awa: stream, iti: little
Te Awa-māeroero; The river of the ogres; te: the, awa: river, māeroero: ogres of the South Island forests
Te Awamutu; The ended river; te: the, awa: river, mutu: cut off or ended
Te Awa-parahi; The steep valley; te: the, awa: valley, parahi: steep
Te Awaure; The male river; te: the, awa: river, ure: male
Te Haehaenga; The laceration; te: the, haehaenga: torn or lacerated
Te Hana; The glow; te: the, hana: glow or gleam
Te Hāpara; The dawn; te: the, hāpara: dawn
Te Hāparangi; The circumstance of shouting; te: the, hāparangi
Te Hāpua; The lagoon; te: the, hāpua: lagoon
Te Hāroto; The pool; te: the, hāroto: pool
Te Henga; The food for a work party; te: the, henga: food for a work party
Te Hēnui; The great mistake; te: the, hē: amongst its several meanings are wrong, erring, error, difficulty, trouble, nui: big
Te Ika-a-Māui; The fish of Māui; te: the, ika: fish, a: of, Māui: a personal name
Te Ika-a-Ranganui; The fish of Ranganui; te: the, ika: fish, a: of, Ranganui: a personal name
Te Horo; The landslide; te: the, horo: landslide
Te Kaha; The rope; te: the, kaha: rope
Te Kao; The dried kūmara; te: the, kao: dried kūmara
Te Kauwhata; The empty storehouse; te: the, kau: empty, whata: storehouse
Te Kawakawa; The kawakawa shrub; te: the, kawakawa: a native shrub
Te Kōpua; The deep pool; te: the, kōpua: deep pool
Te Kiri; The bark; te: the, kiri: bark
Te Kōhanga; The nest; te: the, kōhanga: nest
Te Kōwhai; The kōwhai tree; te: the, kōwhai: a tree
Te Mānia; The plain; te: the, mānia: plain
Te Moana; The sea; te: the, moana: ocean
Te Moana o Toi te Huatahi; The ocean of Toi te Huatahi; te: the, moana: ocean, o: of, Toi te Huatahi
Te Moananui; The great ocean; te: the, moana: ocean, nui: large
Te Moananui-a-Kiwa; The great ocean of Kiwa; te: the, moana: ocean, nui: large, a: of, Kiwa
Te Onepū; The sand; te: the, onepū: sand
Te Onewa; Soil of the unenclosed land; te: the, one: earth, soil or land, wa: unenclosed country
Te Papatapu; The sacred flat; te: the, papa: flat, tapu: sacred or forbidden
Te Puke; The hill; te: the, puke: hill
Te Tai Tamāhine; The female coast; te: the, tai: sea, coast, tamāhine: daughter, girl
Te Tai Tamatāne; The male coast; te: the, tai: sea, coast, tamatāne: son, body
Te Tai o Marokura; The coast of Marokura; te: the, tai: sea, coast, o: of, Marokura
Te Tai o Mahaanui; The coast of Mahaanui; te: the, tai: sea, coast, o: of, Mahaanui
Te Tai o Aorere; The coast of Aorere; te: the, tai: sea, coast, o: of, Aorere
Te Tai Poutini; The coast of Poutini; te: the, tai: sea, coast, Poutini
Te Tukeroa; The long bend; te: the , tuke: elbow or bend, roa: tall
Te Waharoa; The long carry; te: the, waha: to carry on the back, roa: long
Te Wai Pounamu; The greenstone waters; te, the, wai: water, pounamu: greenstone
Te Waiiti; The little stream; te: the, wai: stream, iti: small
Te Waiopani; The water of Pani; te: the wai: water, o: of, Pani
Te Wairoa; The long stream; te: the, wai: river or stream, roa: long
Te Waitere; The swift stream; te: the, wai: water, tere: swiftly flowing
Te Wēiti; The little water; te: the, wē: water, iti: little
Te Whare-kai-atua; The abode that consumes deities; te: the, whare: house, kai: eat, atua: gods
Tīkapa Moana; The mournful sea; tīkapa: mournful, moana: sea
Tikinui; The great human carving; tiki: human representation in wood or stone, nui: large or many
Tinui; Many cabbage trees; ti: cabbage tree, nui: large or many
Tiroa; Long cabbage tree; ti: cabbage tree, roa: tall
Tiromoana; View the sea; tiro: view, moana: ocean
Tironui; Expansive view; tiro: view, nui: large or expansive
Tiroroa; Long view; tiro: view, roa: long
Titiroa; Long streaks of cloud; titi: long streaks of cloud, roa: long
Tokanui; Large rock; toka: rock, nui: large or many
Tokarahi; Many rocks; toka: rock, rahi: large or many
Tokaroa; Tall rock; toka: rock, roa: tall or long
Tokoiti; Little pole; toko: pole, iti: small
Tokoroa; Long pole; toko: pole: roa: long
Tōmoana; Drag to the ocean; tō: to drag or as far up as, moana: ocean
Tōtaranui; Many tōtara trees; tōtara: trees, nui: many
Tunanui; Many eels; tuna: eels, nui: many
Tūranganui; Great standing place; tūranga: standing, nui: great
Tūrangaomoana; Resting place of the sea; tūranga: standing place, o: of, moana: the sea
Tūtaenui; Large dung; tūtae: dung, nui: large
Umutaoroa; Oven of the long spear; umu: oven, taoroa: long spear
Urenui; Great courage; ure: courage (a figurative expression), nui: great
Utuwai; Dip into water; utu: dip into, in order to fill a bowl, wai: water
Waianiwaniwa; Rainbow waters; wai: water, aniwaniwa: rainbow
Waiapu; Swallowing river; wai: water, apu: to swallow
Waiareka; Sweet water; wai: water, a: of, reka: sweet or sweetness
Waiariari; Gleaming water; wai: water, ariari: gleaming or undisturbed
Waiariki; Waters of the chief; wai: water, ariki: chief
Waiaro; Wistful water; wai: water, aro: wistful
Waiatoto; Water of blood; wai: water, a: of, toto: blood
Waiau; Swirling waters; wai: water, au: current
Waiaua; Waters containing herring; wai: water, aua: herring
Waihaha; Noisy water; wai: water, haha: noisy
Waihakeke; Wood ear fungus water; wai: water, hakeke: wood ear fungus
Waihao; Water of net fishing; wai: water, hao: to catch in a net
Waihao; Water with eels; wai: river: hao: a species of small eel
Waihaorunga; Water with eels at the top; wai: river: hao: a species of small eel, runga: top or upper part
Waiharakeke; Flax stream; wai: stream, harakeke: flax
Waiharuru; Rumbling waters; wai: water, haruru: to reverberate or rumble
Waihau; Windy water; wai: water, hau: wind
Waiheke; The descending waters; wai: water, heke: to ebb, drip or descend
Waihemo; The finished stream; wai: water or stream, hemo: to cease
Waihīnau; Hīnau tree stream; wai: stream, hīnau: a native tree
Waihīrere; Rushing waters; wai: water, hīrere: to rush
Waihōaka; Water of sandstone; wai: stream, hōaka (South Island form of hōanga): sandstone, used for grinding and polishing greenstone
Waihōhepa; The water of Hōhepa; wai: stream, water, Hohepa: the Maori form of Joseph
Waihōhonu; Deep water; wai: river, hōhonu: deep
Waihopo; A river one fears to cross; wai: river, hopo: to be apprehensive or doubtful
Waihora; Spread-out waters; wai: water, hora: spread out
Waihōu; New waters; wai: river, hōu: new
Waihua; Fish roe waters; wai: water, hua: fish roe
Waihue; River gourd waters; wai: river, hue: gourd
Wai-iti; Little stream; wai: stream, iti: little
Waikākā; Parrot stream; wai: water, kākā: parrot
Waikākāhi; Waters of freshwater shellfish; wai: water, kākahi: freshwater shellfish
Waikākaho; Waters of the flowering plumes of the toetoe; wai: water, kākaho: flowering plumes of the toetoe
Waikanae; Mullet waters; wai: water, kanae: mullet
Waikaraka; Karaka tree stream; wai: stream, karaka: native tree
Waikarakia; Stream of ritual; wai: stream, karakia: prayer or incantation
Waikare; Rippling waters; wai: water, kare: to ripple
Waikareiti; Little waters; wai: water, kare: to ripple or dash, iti: little
Waikaremoana; Sea of rippling waters; wai: water, kare: to ripple, moana: sea or large lake
Waikāretu; Waters of the kāretu grass; wai: water, kāretu: a sweet-scented grass
Waikari; Dig for water; wai: water, kari: dig
Waikato; Flowing water; wai: river, kato: to flow
Waikawa; Bitter water; wai: water, kawa: bitter
Waikawau; Water of the shag; wai: water, kawau: shag
Waikererū; Water of the wood pigeon; wai: water, kererū: wood pigeon
Waikeria; Dug out water; wai: water, keria: dug out
Waikerikeri; Water that rushes along; wai: water, kerikeri: to rush along violently
Waikiekie; Kiekie waters; wai: water, kiekie: a climbing plant
Waikino; Harmful waters; wai: water, kino: unpleasant, stinking
Waikirikiri; Gravelly stream; wai: stream, kirikiri: gravel
Waikite; Discovered water; wai: water, kite: to see or gaze upon
Waikiwi; Kiwi waters; wai: stream, kiwi: a flightless nocturnal bird
Waikōau; Waters of the shag; wai: water, kōau: shag
Waikohu; Misty waters; wai: water, kohu: mist
Waikōkopu; Waters of the cockabully; wai: water, kōkopu: cockabully fish
Waikōkōwai; Waters of the red ochre; wai: water, kōkōwai: red ochre
Waikorea; Waters of the small canoe; wai: water, korea: a small canoe
Waikouaiti; Stream which has become small; wai: stream, koua (the poetical form of kua): to become, iti: little
Waikoukou; Water of the morepork; wai: water, koukou: morepork or native owl
Waikōwhai; Kōwhai tree waters; wai: stream, kowhai: native tree
Waikōwhitiwhiti; Dancing waters; wai: water, kōwhitiwhiti: dancing (of water)
Waikuku; Freshwater mussel waters; wai: water, kuku: freshwater mussel
Waikumete; Waters of the kumete bowl; wai: water, kumete: wooden bowl often used to snare wood pigeons
Waikuta; Waters of the kuta rushes; wai: water, kuta: rushes
Waimā; Clear water; wai: river, mā: white or clear
Wai-māeroero; Waters of the ogres of the forests; wai: water, māeroero: ogres of the South Island forests
Waimāhaka; Twin waters; wai: waters, māhaka (māhanga): twin
Waimahora; Spread out waters; wai: water, mahora: spread out
Waimahuru; Placid waters; wai, stream, mahuru: placid
Waimakariri; Cold river; wai: river, makariri: cold
Waimamaku; Tree-fern stream; wai: stream, mamaku: tree-fern
Waimana; Stream of influence; wai: stream, mana: esteem or influence
Waimangaroa; River with a long tributary; wai: river, manga: tributary, roa: long
Waimangu; Black water; wai: water, mangu: black
Waimārama; Clear water; wai: water, mārama: clear
Waimarie; Quiet water; wai: water, marie: quiet
Waimarino; Calm stream; wai: water or stream, marino: calm or still
Waimaru; Sheltered water; wai, water, maru: shade or sheltered
Waimātaitai; Salty water; wai, water, mātaitai: salty or brackish water
Waimate; Stagnant water; wai: water, mate: dead, sick or stagnant
Waimatua; Important water; wai: water, matua: large or important
Waimatuku; Bittern water; wai: water, matuku: bittern
Waimauku; Fern water; wai: stream, mauku: small ferns
Waimaunga; Mountain stream; wai: stream, maunga: mountain
Waimimi; Urine stream; wai: stream, mimi: urine
Waimiro; Miro stream; wai: stream, miro: a native tree
Waimotu; Island stream; wai: water or river, motu: island
Waimumu; Boisterous stream; wai: stream, mumu: boisterous
Waingake; Waters to fill a large net; wai: water, ngake: capacious, or the middle section of a fishing net
Waingaro; Lost stream; wai: water or stream, ngaro: lost or hidden
Waingongoro; Gurgling water; wai: river, ngongoro: to snore or gurgle
Wainoni; Bendy stream; wai: stream, noni: bend or turn
Wainui; Large waters; wai: water, nui: large
Wainuiomata; Big stream of Mata; wai: stream, nui: big, o: of, Mata: a personal name
Wainuioru; Large waters of Ru; wai: water or stream, nui: large, o of, Ru: personal name
Waiohau; Waters of Hau; wai: water, o: of, Hau: personal name
Waiohine; River of Hine; wai: river, o: of, Hine
Waiomatatini; Stream of Matatini; wai: water or stream, o: of, Matatini
Waiomio; Stream of Mio; wai: water or stream, o: of, Mio
Waiomu; Stream of Mu; wai: water or stream, o: of, Mu
Waione; Stream on the beach; wai: water, one: beach or sand
Waiongana; Stream of Ngata; wai: water or stream, o: of, Ngana
Wai-ora-a-Tāne; The life-giving water of Tāne; wai: water, ora: life, a: of, Tāne
Waiorongomai; Stream of Rongomai; wai: water or stream, o: of, Rongomai
Waiotahi; Stream of Tahi; wai: water or stream, o: of, Tahi
Wai-o-taiki; Stream of Taiki; te: the, wai: stream, o: of, Taiki
Waiotapu; Sacred waters; wai: water, o: of, tapu: sacred or reserved
Waiotemarama; Waters of Te Marama; wai: water, o: of, Te Marama
Waiotira; Pool of divination; wai: water or pool, a: of, tira: to set up sticks for divination
Waiotū; Waters of Tū; wai: water, o: of, Tū: a personal name
Waiouru; River of the west; wai: river, o:of, uru: west
Waipā; River of fortified villages; wai: river, pā: fortified village or villages
Waipahi; Stream of Pahi; wai: water, Pahi
Waipāhīhī; Water flowing in driblets; wai: water, pāhīhī: welling up or flowing in driblets
Waipakaru; Stream broken through; wai: water, pakaru: broken
Waipango; Black water; wai: water, pango: black
Waipapa; Stream on flats; wai: stream, papa: flat
Waipapakauri; Swampy ground where the kauri grow; wai: water, papa: flat, kauri: native tree
Waipaparoa; Stream on long flats; wai: water, papa: flat, roa: long
Waipara; Silty water; wai: water, para: mud, silt or sediment
Waipareira; Stream of Pareira; wai: water, Pareira
Waipari; Clifftop stream; wai: stream, pari: cliff
Waipati; Shallow waters; wai: water, pati: shallow or splashing
Waipātiki; Flounder waters; wai: water, pātiki: flounder
Waipatu; Strike water; wai: water, patu: struck
Waipeto; Consumed by the stream; wai: stream, peto: to be consumed
Waipīata; Clear water; wai: water, pīata: glistening or clear
Waipipi; Pipi waters; wai: water, pipi: cockle
Waipiro; Evil-smelling water; wai: water, piro: evil-smelling
Waipōua; Water from rain in the night; wai: water, pō: night, ua: rain
Waipounamu; Greenstone waters; wai: river, pounamu: greenstone
Waipōuri; Dark waters; wai: water or stream, pōuri: dark or sad.
Waipū; Reddish water; wai: water, pū: reddish in colour
